Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform,Genre,Publisher
44,2007.0,7.97,2.83,0.13,1.21,12.14,28,8,8
45,2014.0,3.8,5.81,0.36,2.02,11.98,18,0,0
46,2009.0,4.4,2.77,3.96,0.77,11.9,4,0,0
47,1996.0,6.91,2.85,1.91,0.23,11.89,10,4,4
48,2004.0,3.01,0.01,1.1,7.53,11.66,16,6,6
49,2007.0,6.16,3.4,1.2,0.76,11.52,26,4,4
50,2014.0,4.23,3.37,3.08,0.65,11.33,2,7,7
51,1992.0,6.16,2.04,2.69,0.29,11.18,5,1,1
52,2008.0,6.76,3.1,0.14,1.03,11.02,28,0,0
53,1997.0,4.02,3.87,2.54,0.52,10.95,15,6,6
54,2011.0,4.89,2.99,2.13,0.78,10.79,2,4,4
55,2010.0,2.96,4.88,0.81,2.12,10.77,17,6,6
56,2009.0,4.99,3.69,0.38,1.63,10.69,17,8,8
57,2008.0,4.76,3.76,0.44,1.62,10.57,17,0,0
58,1993.0,5.99,2.15,2.12,0.29,10.55,23,4,4
59,2004.0,4.34,2.65,3.15,0.35,10.49,6,7,7
60,2004.0,5.08,3.11,1.25,0.98,10.42,4,4,4
61,2011.0,6.05,3.15,0.0,1.07,10.26,26,3,3
62,2013.0,6.72,2.63,0.04,0.82,10.21,28,8,8
63,2010.0,7.03,1.98,0.08,0.78,9.88,28,8,8
64,1996.0,5.55,1.94,2.23,0.15,9.87,10,6,6
65,2012.0,3.66,3.07,2.47,0.63,9.82,2,4,4
66,2012.0,6.63,2.36,0.04,0.73,9.76,28,8,8
67,1997.0,3.01,2.47,3.28,0.96,9.72,15,7,7
68,2013.0,4.09,3.73,0.38,1.38,9.59,17,8,8
69,2010.0,5.84,2.89,0.01,0.78,9.52,26,3,3
70,1999.0,3.88,3.42,1.69,0.5,9.49,15,6,6
71,2007.0,5.91,2.38,0.13,0.9,9.32,28,8,8
72,1994.0,4.36,1.71,3.0,0.23,9.3,23,4,4
73,2013.0,5.58,2.83,0.02,0.77,9.2,28,3,3
74,2012.0,2.01,2.32,4.36,0.41,9.09,2,9,9
75,2007.0,4.46,1.88,1.98,0.7,9.02,4,3,3
76,2011.0,5.03,2.86,0.1,0.85,8.84,28,7,7
77,1992.0,3.54,1.24,3.81,0.18,8.76,23,6,6
78,2015.0,1.11,6.06,0.06,1.26,8.49,18,10,10
79,2010.0,1.79,3.53,2.49,0.68,8.49,26,3,3
80,2004.0,6.82,1.53,0.05,0.08,8.49,29,8,8
81,2007.0,3.81,2.3,1.58,0.73,8.42,26,3,3
82,2012.0,2.91,1.86,3.14,0.43,8.33,4,7,7
83,2012.0,1.06,5.05,0.13,2.01,8.24,17,0,0
84,2009.0,0.98,6.42,0.0,0.71,8.11,13,9,9
85,1997.0,5.8,2.01,0.13,0.15,8.09,10,8,8
86,2007.0,2.58,3.9,0.66,0.91,8.06,26,10,10
87,2001.0,2.91,2.07,2.73,0.33,8.05,16,7,7
88,1999.0,2.28,1.72,3.63,0.23,7.86,15,7,7
89,2008.0,2.82,1.78,2.69,0.55,7.84,4,7,7
90,1982.0,7.28,0.45,0.0,0.08,7.81,0,5,5
91,2005.0,2.9,2.83,0.24,1.75,7.72,19,0,0
92,2010.0,3.66,2.42,0.98,0.64,7.69,26,4,4
93,2015.0,2.93,3.29,0.22,1.23,7.67,18,8,8
94,2014.0,2.8,3.3,0.14,1.37,7.6,18,8,8
95,1998.0,4.1,1.89,1.45,0.16,7.6,10,0,0
96,1997.0,3.78,2.17,1.31,0.31,7.58,15,4,4
97,1988.0,5.39,1.18,0.7,0.19,7.46,11,4,4
98,2014.0,3.24,1.35,2.42,0.43,7.45,2,2,2
99,2008.0,4.79,1.9,0.0,0.69,7.37,28,8,8
100,2011.0,4.46,2.13,0.06,0.69,7.34,28,8,8
101,2006.0,3.83,2.19,0.6,0.7,7.31,26,0,0
102,2015.0,4.52,2.09,0.01,0.67,7.3,30,8,8
103,2009.0,3.51,3.03,0.0,0.73,7.27,26,3,3
104,2011.0,2.85,2.93,0.35,1.1,7.23,17,8,8
105,2003.0,3.27,2.83,0.08,1.02,7.2,16,6,6
106,1998.0,3.27,2.22,1.4,0.29,7.16,15,2,2
107,1998.0,3.68,1.75,1.42,0.28,7.13,15,4,4
108,2001.0,4.41,1.04,1.39,0.22,7.07,7,2,2
109,2014.0,3.13,2.07,1.27,0.49,6.96,27,6,6
110,2015.0,2.47,3.15,0.24,1.1,6.96,18,7,7
111,2003.0,4.12,1.77,0.87,0.19,6.95,7,6,6
112,2012.0,4.14,2.21,0.0,0.56,6.91,26,3,3
113,2013.0,0.78,4.32,0.07,1.73,6.9,17,10,10
114,2004.0,2.71,3.02,0.08,1.09,6.9,16,6,6
115,2002.0,2.93,2.75,0.17,0.99,6.83,16,8,8
116,2011.0,2.77,2.8,0.19,1.06,6.83,17,0,0
117,1996.0,3.23,2.35,0.94,0.3,6.82,15,4,4
118,2010.0,3.5,2.64,0.0,0.67,6.81,26,10,10
119,2008.0,4.15,1.92,0.06,0.64,6.76,28,8,8
120,2009.0,3.27,2.25,0.21,1.0,6.73,17,0,0
121,2007.0,3.1,2.3,0.28,1.04,6.72,17,8,8
122,2011.0,0.84,4.32,0.11,1.42,6.69,17,10,10
123,2005.0,1.67,2.78,1.6,0.62,6.67,4,3,3
124,2010.0,2.79,2.61,0.17,1.03,6.6,17,0,0
125,2014.0,0.79,4.29,0.05,1.47,6.59,18,10,10
126,2010.0,3.25,1.84,1.03,0.47,6.59,26,4,4
127,2011.0,2.55,2.71,0.25,1.05,6.56,17,7,7
128,1986.0,3.74,0.93,1.69,0.14,6.51,11,0,0
129,2012.0,2.64,2.56,0.16,1.14,6.5,17,0,0
130,2001.0,4.98,1.3,0.08,0.07,6.43,29,8,8
131,2004.0,2.57,1.58,2.06,0.21,6.41,6,7,7
132,2002.0,3.64,1.2,1.49,0.07,6.4,16,7,7
133,2000.0,2.55,1.56,1.29,0.99,6.39,5,7,7
134,2009.0,4.34,1.35,0.06,0.61,6.36,28,8,8
135,2010.0,3.7,1.97,0.09,0.57,6.34,28,0,0
136,2002.0,4.01,1.26,0.87,0.17,6.31,7,4,4
137,1992.0,2.47,0.83,2.87,0.12,6.3,23,2,2
138,2004.0,0.07,6.21,0.0,0.0,6.28,13,7,7
139,1999.0,3.11,2.8,0.02,0.33,6.27,15,0,0
140,2010.0,3.92,1.78,0.03,0.51,6.24,28,10,10
141,2011.0,4.05,1.62,0.07,0.49,6.24,28,8,8
142,2006.0,3.54,1.9,0.07,0.6,6.11,28,8,8
143,2001.0,2.45,2.01,0.87,0.72,6.05,16,0,0
144,1992.0,4.47,1.2,0.16,0.19,6.03,8,4,4
145,2008.0,2.63,1.74,0.83,0.83,6.03,17,0,0
146,1998.0,3.18,1.83,0.78,0.24,6.03,15,0,0
147,2013.0,2.41,2.28,0.28,1.01,5.99,17,0,0
148,2006.0,1.88,0.0,2.33,1.74,5.95,16,7,7
149,2008.0,2.8,2.05,0.17,0.9,5.92,17,4,4
150,2009.0,0.66,0.69,4.35,0.15,5.84,4,7,7
151,2007.0,3.66,1.63,0.0,0.53,5.83,26,0,0
152,1998.0,1.88,1.47,2.02,0.45,5.82,15,0,0
153,1996.0,2.26,1.89,1.36,0.23,5.74,15,2,2
154,2006.0,3.13,1.94,0.07,0.58,5.72,4,9,9
155,2014.0,2.49,2.05,0.16,0.96,5.65,18,8,8
156,1988.0,2.97,0.69,1.81,0.11,5.58,11,5,5
157,2009.0,2.54,1.95,0.21,0.87,5.57,17,0,0
158,1999.0,2.95,0.6,1.97,0.04,5.55,10,2,2
159,2007.0,3.28,1.65,0.07,0.55,5.55,28,1,1
160,2011.0,2.7,1.91,0.11,0.8,5.53,17,0,0
161,2009.0,2.99,1.92,0.1,0.51,5.51,28,6,6
162,2008.0,0.47,0.57,4.13,0.34,5.5,19,7,7
163,2001.0,3.14,1.24,0.91,0.2,5.49,6,4,4
164,2001.0,2.62,1.64,0.99,0.23,5.47,6,6,6
165,2001.0,3.21,1.11,0.95,0.2,5.46,6,4,4
166,1999.0,3.18,1.24,0.94,0.09,5.45,10,11,11
167,2008.0,2.72,1.87,0.0,0.84,5.43,17,8,8
168,2001.0,2.07,2.29,0.24,0.82,5.42,16,4,4
169,2014.0,1.97,2.51,0.0,0.94,5.42,17,3,3
170,2009.0,1.74,1.24,1.87,0.52,5.36,17,7,7
171,1989.0,2.18,0.96,2.0,0.2,5.34,5,5,5
172,1999.0,3.02,1.12,1.01,0.16,5.31,5,3,3
173,2012.0,3.13,1.71,0.03,0.44,5.3,28,0,0
174,2000.0,1.62,0.77,2.78,0.14,5.3,15,7,7
175,2003.0,1.92,1.08,2.11,0.17,5.29,16,7,7
176,1999.0,3.33,0.79,1.09,0.06,5.27,10,4,4
177,2009.0,3.1,1.56,0.08,0.51,5.27,28,0,0
178,2007.0,1.22,2.48,1.03,0.52,5.26,4,5,5
179,1997.0,2.3,2.46,0.2,0.28,5.24,15,0,0
181,2004.0,0.65,0.75,3.61,0.2,5.21,16,7,7
182,2012.0,2.43,2.15,0.0,0.62,5.2,13,7,7
183,2003.0,2.93,1.25,0.83,0.2,5.2,6,4,4
184,2012.0,2.32,1.3,1.27,0.31,5.19,27,4,4
185,1994.0,2.49,0.98,1.57,0.15,5.19,5,4,4
186,2012.0,1.08,3.48,0.03,0.58,5.18,28,0,0
187,2007.0,1.9,1.83,0.95,0.49,5.17,4,0,0
188,1995.0,2.1,0.74,2.2,0.11,5.15,23,4,4
189,2013.0,0.96,2.02,1.89,0.28,5.15,2,9,9
190,2008.0,1.64,2.48,0.44,0.58,5.14,4,10,10
191,2003.0,1.98,2.23,0.13,0.8,5.13,16,8,8
192,1992.0,2.71,0.61,1.7,0.11,5.13,5,4,4
193,2010.0,3.59,1.11,0.05,0.38,5.13,28,7,7
194,2014.0,3.21,1.53,0.01,0.38,5.13,30,8,8
195,1996.0,3.22,1.69,0.0,0.2,5.12,13,9,9
196,2006.0,3.81,0.63,0.0,0.68,5.12,16,3,3
197,2009.0,1.96,1.43,1.08,0.65,5.11,17,0,0
198,2014.0,2.66,2.01,0.0,0.41,5.08,30,0,0
199,2006.0,1.7,2.02,0.16,1.21,5.08,19,0,0
200,2010.0,0.6,3.29,0.06,1.13,5.08,17,10,10
201,1999.0,3.4,1.3,0.15,0.22,5.07,5,4,4
202,1996.0,2.05,1.16,1.11,0.73,5.05,15,0,0
203,1999.0,3.42,1.38,0.02,0.2,5.02,15,10,10
204,2014.0,2.59,1.06,0.8,0.57,5.02,27,2,2
205,1999.0,2.79,1.89,0.0,0.33,5.01,15,11,11
206,1998.0,3.36,1.36,0.07,0.21,5.0,15,4,4
207,2007.0,3.06,1.18,0.29,0.46,5.0,26,8,8
208,2007.0,3.49,0.01,0.01,1.48,4.98,16,3,3
209,2008.0,3.39,1.03,0.09,0.44,4.96,28,7,7
210,2007.0,1.85,1.2,1.54,0.37,4.96,4,7,7
211,2007.0,2.31,1.73,0.12,0.78,4.94,17,0,0
212,2005.0,3.98,0.26,0.01,0.66,4.91,16,10,10
213,2007.0,2.89,1.54,0.0,0.46,4.9,4,0,0
214,1997.0,2.91,0.99,0.89,0.1,4.88,10,6,6
215,2010.0,0.0,0.0,4.87,0.0,4.87,19,7,7
216,1990.0,2.62,0.6,1.52,0.1,4.85,11,5,5
217,2010.0,2.74,1.36,0.12,0.63,4.84,17,0,0
218,2010.0,2.56,1.68,0.0,0.59,4.83,13,11,11
219,2007.0,1.91,2.0,0.09,0.83,4.83,17,1,1
220,2014.0,0.57,3.14,0.04,1.07,4.82,17,10,10
221,1999.0,2.57,1.57,0.44,0.21,4.79,15,6,6
222,2016.0,0.28,3.75,0.06,0.69,4.77,18,10,10
223,2011.0,2.99,1.31,0.04,0.41,4.76,28,0,0
224,2000.0,2.36,2.1,0.02,0.25,4.73,15,0,0
225,2003.0,1.73,2.19,0.0,0.79,4.7,16,6,6
226,2000.0,3.05,1.41,0.02,0.2,4.68,15,10,10
227,2008.0,1.87,1.12,1.32,0.37,4.68,26,9,9
228,2002.0,1.94,1.95,0.08,0.7,4.67,16,0,0
229,2011.0,2.08,2.04,0.06,0.47,4.64,28,6,6
230,1996.0,2.29,1.97,0.13,0.24,4.63,15,0,0
231,2007.0,3.06,1.12,0.0,0.44,4.62,26,3,3
232,1991.0,2.42,0.91,1.15,0.13,4.61,23,0,0
233,2002.0,2.6,0.99,0.89,0.13,4.6,7,0,0
234,2009.0,1.89,1.99,0.22,0.48,4.58,26,10,10
235,2013.0,1.78,1.39,1.1,0.3,4.58,2,0,0
236,2015.0,1.55,1.15,1.44,0.43,4.57,27,8,8
237,2014.0,1.78,1.87,0.07,0.82,4.55,18,0,0
238,2007.0,3.19,0.92,0.01,0.42,4.53,28,3,3
239,2004.0,4.18,0.26,0.01,0.08,4.53,16,10,10
240,1981.0,4.21,0.24,0.0,0.05,4.5,0,4,4
241,2006.0,3.63,0.24,0.01,0.61,4.49,16,10,10
242,2002.0,2.71,1.51,0.03,0.23,4.48,16,0,0
243,2000.0,0.2,0.14,4.1,0.02,4.47,15,7,7
244,2015.0,1.96,1.69,0.08,0.74,4.47,18,0,0
245,2014.0,1.54,1.94,0.19,0.77,4.45,17,8,8
246,2005.0,2.71,1.29,0.02,0.43,4.45,16,0,0
247,2012.0,2.55,1.11,0.46,0.33,4.44,27,3,3
248,2010.0,2.67,1.35,0.01,0.39,4.42,26,3,3
249,2001.0,2.66,1.29,0.01,0.46,4.41,16,10,10
250,2006.0,0.1,2.39,1.05,0.86,4.39,16,10,10
251,2006.0,2.82,1.05,0.13,0.4,4.39,28,7,7
252,1987.0,2.19,0.5,1.61,0.08,4.38,11,1,1
253,2005.0,2.03,1.79,0.08,0.47,4.37,16,6,6
254,2006.0,1.73,1.73,0.14,0.75,4.35,17,8,8
255,1991.0,3.03,0.91,0.26,0.13,4.34,8,4,4
256,2005.0,2.2,0.58,1.38,0.17,4.33,16,7,7
257,2013.0,0.92,2.93,0.01,0.46,4.31,28,10,10
258,2014.0,2.75,1.18,0.0,0.37,4.31,28,8,8
259,1980.0,4.0,0.26,0.0,0.05,4.31,0,8,8
260,2008.0,2.51,1.27,0.11,0.41,4.31,28,7,7
261,2015.0,2.64,1.2,0.03,0.39,4.26,30,8,8
262,2013.0,2.11,1.11,0.72,0.3,4.25,27,4,4
263,2009.0,2.23,1.34,0.07,0.61,4.25,17,0,0
264,2011.0,1.41,2.02,0.1,0.72,4.24,17,0,0
265,2001.0,3.0,1.11,0.05,0.07,4.24,6,3,3
266,2004.0,1.46,0.0,0.83,1.93,4.23,16,0,0
267,2006.0,2.45,1.02,0.0,0.75,4.22,19,4,4
268,1995.0,1.7,2.27,0.0,0.23,4.21,13,11,11
269,2011.0,2.03,1.27,0.62,0.3,4.21,2,0,0
270,2005.0,0.78,2.55,0.04,0.84,4.21,16,10,10
271,2003.0,0.88,2.3,0.2,0.83,4.2,16,3,3
272,2016.0,1.3,2.07,0.18,0.65,4.2,18,8,8
273,2007.0,1.28,1.83,0.57,0.53,4.2,17,6,6
274,2011.0,2.25,1.47,0.04,0.43,4.19,28,0,0
275,2009.0,2.02,1.06,0.58,0.53,4.19,17,2,2
276,2011.0,0.84,2.79,0.02,0.53,4.19,28,10,10
277,1989.0,3.38,0.44,0.31,0.04,4.17,11,0,0
278,1984.0,2.04,0.48,1.57,0.07,4.16,11,6,6
279,1997.0,3.79,0.27,0.0,0.11,4.16,15,0,0
280,2002.0,3.36,0.21,0.01,0.56,4.14,16,10,10
281,2014.0,1.4,1.86,0.11,0.77,4.14,18,0,0
282,1997.0,4.03,0.0,0.09,0.0,4.12,13,8,8
283,1995.0,1.65,0.61,1.76,0.09,4.12,23,4,4
284,2006.0,0.71,2.48,0.03,0.89,4.11,16,10,10
285,2011.0,2.14,1.2,0.37,0.4,4.1,26,0,0
286,1992.0,1.42,0.51,2.1,0.07,4.1,23,2,2
287,2007.0,2.13,1.5,0.05,0.42,4.1,26,3,3
288,2015.0,2.45,1.26,0.01,0.37,4.09,30,7,7
289,2007.0,2.57,1.52,0.0,0.0,4.09,13,7,7
290,2010.0,2.65,1.06,0.04,0.33,4.08,28,7,7
291,2007.0,2.32,0.04,0.04,1.67,4.07,16,0,0
292,2007.0,2.35,1.28,0.03,0.41,4.06,28,6,6
293,2005.0,0.12,2.26,0.9,0.77,4.06,16,10,10
294,1996.0,2.28,1.55,0.16,0.06,4.05,15,3,3
295,2000.0,1.68,1.51,0.51,0.35,4.05,16,2,2
296,2014.0,1.12,2.12,0.1,0.69,4.03,18,8,8
297,1997.0,2.78,0.58,0.64,0.04,4.03,10,8,8
298,2014.0,1.38,1.87,0.12,0.65,4.02,18,3,3
299,1984.0,1.22,0.28,2.46,0.04,4.01,11,10,10
300,2008.0,2.15,1.2,0.07,0.59,4.01,17,7,7
301,2007.0,0.92,1.78,0.92,0.37,4.0,4,5,5
302,2009.0,2.67,0.89,0.05,0.37,3.99,28,8,8
303,2005.0,2.08,1.35,0.0,0.54,3.98,16,3,3
304,2009.0,2.1,1.36,0.06,0.4,3.92,26,10,10
305,2014.0,1.18,1.96,0.08,0.7,3.92,18,0,0
306,1994.0,1.97,0.76,1.07,0.11,3.91,5,4,4
307,2003.0,2.29,1.17,0.01,0.42,3.9,16,10,10
308,2013.0,1.33,1.71,0.13,0.73,3.89,17,0,0
309,2014.0,0.67,0.49,2.62,0.11,3.89,2,7,7
310,2006.0,1.53,1.61,0.06,0.67,3.88,17,6,6
311,2011.0,1.15,2.09,0.0,0.64,3.88,13,7,7
312,2005.0,0.93,1.94,0.31,0.7,3.87,16,2,2
313,1988.0,0.1,0.0,3.77,0.0,3.87,11,7,7
314,2010.0,2.12,1.14,0.1,0.51,3.87,17,10,10
315,2015.0,2.48,0.65,0.03,0.69,3.85,18,10,10
316,2004.0,0.16,1.89,1.12,0.68,3.85,16,10,10
317,2007.0,0.87,1.57,1.05,0.35,3.84,4,3,3
318,1995.0,2.12,1.44,0.22,0.06,3.84,15,3,3
319,1992.0,2.21,0.96,0.54,0.13,3.83,5,0,0
320,2009.0,2.26,0.48,0.81,0.27,3.83,4,7,7
321,2007.0,1.06,1.93,0.41,0.43,3.82,26,3,3
322,2011.0,1.44,1.37,0.73,0.27,3.81,2,9,9
323,2015.0,1.49,1.58,0.1,0.61,3.79,18,0,0
324,2011.0,1.14,1.91,0.27,0.46,3.78,26,10,10
325,2008.0,2.4,1.03,0.0,0.36,3.78,28,0,0
326,1996.0,1.82,1.24,0.47,0.25,3.77,15,0,0
327,2007.0,1.4,1.4,0.1,0.87,3.77,19,4,4
328,2013.0,1.98,1.47,0.0,0.32,3.76,26,3,3
329,2002.0,2.03,1.56,0.0,0.17,3.76,13,9,9
330,2007.0,1.98,0.88,0.59,0.32,3.76,26,4,4
331,2001.0,1.37,2.0,0.14,0.22,3.73,15,0,0
332,2015.0,0.96,2.0,0.21,0.56,3.73,18,7,7
333,1999.0,1.3,0.77,1.54,0.11,3.72,15,0,0
334,2000.0,1.93,1.58,0.0,0.19,3.71,15,4,4
335,2004.0,0.58,2.48,0.04,0.59,3.7,16,10,10
336,1998.0,1.49,0.73,1.38,0.1,3.7,5,11,11
337,2013.0,1.3,1.51,0.27,0.61,3.69,17,8,8
338,2007.0,1.59,1.61,0.08,0.41,3.69,4,9,9
339,2009.0,0.0,0.0,3.67,0.0,3.67,4,3,3
340,2002.0,2.13,1.18,0.01,0.35,3.67,16,10,10
341,2005.0,1.65,1.22,0.0,0.79,3.66,19,6,6
342,1998.0,1.87,1.13,0.55,0.1,3.65,10,4,4
343,2002.0,2.53,0.81,0.06,0.24,3.65,16,8,8
344,2008.0,2.33,0.97,0.0,0.35,3.65,26,3,3
345,2013.0,0.71,1.8,0.4,0.74,3.64,17,6,6
346,2001.0,2.08,1.09,0.15,0.33,3.64,16,4,4
347,1999.0,2.23,0.68,0.66,0.06,3.63,10,9,9
348,2009.0,0.6,2.46,0.05,0.52,3.63,17,10,10
349,2007.0,0.05,0.0,0.64,2.93,3.63,16,10,10
350,2013.0,1.78,1.42,0.05,0.38,3.63,18,8,8
351,2005.0,2.08,0.83,0.46,0.25,3.62,16,0,0
352,2016.0,1.28,1.61,0.15,0.57,3.61,18,8,8
353,2004.0,1.93,1.22,0.03,0.44,3.61,16,8,8
354,1994.0,2.05,1.4,0.0,0.16,3.61,13,8,8
355,2001.0,2.02,1.17,0.0,0.42,3.61,16,6,6
356,2007.0,1.61,1.5,0.1,0.39,3.61,4,9,9
357,2001.0,2.38,0.67,0.46,0.1,3.6,7,0,0
358,2005.0,2.18,1.02,0.03,0.37,3.59,16,8,8
359,2000.0,2.01,1.35,0.06,0.16,3.58,15,2,2
360,1997.0,1.57,1.79,0.0,0.2,3.56,15,4,4
361,2006.0,1.56,1.4,0.07,0.5,3.54,16,0,0
362,2002.0,1.23,1.77,0.05,0.49,3.54,16,0,0
363,1997.0,1.66,1.58,0.12,0.18,3.54,15,0,0
364,2001.0,1.9,1.13,0.1,0.41,3.53,16,8,8
365,2005.0,1.98,1.14,0.01,0.41,3.53,16,0,0
366,2013.0,2.14,1.08,0.02,0.29,3.53,28,8,8
367,2010.0,0.71,2.4,0.02,0.4,3.53,28,10,10
368,2000.0,1.96,1.33,0.0,0.23,3.52,15,0,0
369,1999.0,2.14,1.21,0.01,0.17,3.52,15,4,4
370,2008.0,2.66,0.5,0.05,0.3,3.52,28,8,8
371,2009.0,1.22,1.66,0.27,0.38,3.52,4,10,10
372,2009.0,2.11,0.94,0.12,0.34,3.51,28,0,0
373,1996.0,1.17,0.5,1.75,0.08,3.51,23,4,4
374,2010.0,2.84,0.39,0.03,0.24,3.5,28,0,0
375,1985.0,1.64,0.38,1.42,0.06,3.5,11,0,0
376,2009.0,2.2,0.97,0.02,0.31,3.5,28,0,0
377,2006.0,0.59,1.83,0.73,0.35,3.5,4,3,3
379,2015.0,1.94,1.22,0.02,0.31,3.49,30,8,8
380,2010.0,2.09,1.02,0.04,0.32,3.48,28,8,8
381,2008.0,2.11,1.01,0.01,0.35,3.48,4,3,3
382,2014.0,2.26,0.89,0.0,0.3,3.46,30,0,0
383,2012.0,0.88,1.75,0.1,0.72,3.45,17,8,8
384,2013.0,0.0,0.0,3.44,0.0,3.44,2,7,7
385,2009.0,2.39,0.73,0.03,0.29,3.44,28,8,8
386,2002.0,1.55,1.27,0.33,0.29,3.44,16,2,2
387,2013.0,1.34,1.54,0.17,0.38,3.43,18,8,8
388,2011.0,1.82,1.07,0.06,0.47,3.42,17,4,4
389,1998.0,1.13,2.07,0.0,0.22,3.42,15,0,0
390,1994.0,0.86,0.0,2.55,0.02,3.42,23,7,7
391,2004.0,1.75,1.2,0.02,0.43,3.41,16,0,0
392,1990.0,1.73,0.69,0.59,0.4,3.41,5,6,6
393,2002.0,0.46,2.28,0.05,0.61,3.4,16,10,10
394,2000.0,1.56,1.47,0.19,0.17,3.39,15,3,3
395,2008.0,2.03,1.03,0.0,0.32,3.38,28,0,0
396,2015.0,1.08,1.35,0.48,0.47,3.38,18,0,0
397,2009.0,1.43,0.94,0.74,0.27,3.38,4,0,0
398,1998.0,2.47,0.76,0.0,0.13,3.36,15,2,2
399,2000.0,1.9,0.67,0.73,0.06,3.36,10,0,0
400,2008.0,0.65,1.61,0.82,0.28,3.36,4,5,5
401,1998.0,1.63,1.53,0.0,0.18,3.34,15,1,1
402,2013.0,1.9,1.14,0.01,0.29,3.34,28,0,0
403,2006.0,0.0,0.99,2.32,0.02,3.33,4,3,3
404,2002.0,1.45,1.29,0.12,0.46,3.33,16,8,8
405,2002.0,1.44,1.01,0.57,0.3,3.33,16,4,4
406,2012.0,1.15,1.17,0.76,0.24,3.32,26,3,3
407,2005.0,1.47,1.39,0.03,0.43,3.32,16,0,0
408,2001.0,1.99,1.05,0.05,0.22,3.31,16,8,8
409,2003.0,1.5,1.28,0.05,0.46,3.28,16,0,0
410,2015.0,0.8,1.92,0.06,0.5,3.28,18,0,0
411,2014.0,2.13,0.92,0.0,0.23,3.28,30,8,8
412,2003.0,1.89,1.05,0.02,0.31,3.27,16,0,0
413,2008.0,1.36,1.13,0.46,0.32,3.27,26,3,3
414,2009.0,0.5,1.59,0.31,0.87,3.27,19,6,6
415,2015.0,0.25,0.19,2.78,0.04,3.26,2,0,0
416,1995.0,0.95,1.3,0.77,0.22,3.24,15,2,2
417,2015.0,0.88,2.11,0.0,0.23,3.23,30,10,10
418,2011.0,1.27,1.33,0.12,0.51,3.23,17,1,1
419,2015.0,2.33,0.3,0.0,0.59,3.22,18,10,10
420,2014.0,0.03,0.0,3.18,0.0,3.22,2,7,7
421,1999.0,1.72,1.33,0.0,0.16,3.21,15,8,8
422,1983.0,0.73,0.1,2.35,0.02,3.2,11,10,10
